SampleID,Collectors,Collection Date,Country/Ocean,State/Province,Region,Sector,ExactSite,Lat,Lon,Elev,Depth,Elevation Precision,Depth Precision,GPS Source,Coordinate Accuracy,Event Time,Collection Date Accuracy,Habitat,SamplingProtocol,Collection Notes,Site Code,FieldID
KBIMP_01_B2,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_B3,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_B4,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_B5,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_B6,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_B7,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_B8,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_B9,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_B10,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_B11,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_B12,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_C1,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_C2,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_C3,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_C4,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_C5,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_C6,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_C7,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_C8,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_C9,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_C10,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_C11,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_C12,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_D1,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_D2,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_D3,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_D4,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_D5,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_D6,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_D7,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_D8,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_D9,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_D10,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_D11,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_D12,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_E1,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_E2,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_E3,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_E4,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_E5,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_E6,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_E7,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_E8,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_E9,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_E10,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_E11,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_E12,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_F1,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_F2,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_F3,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_F4,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_F5,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_F6,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_F7,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_F8,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_F9,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_F10,D. Nowosad,July 21 2024,Canada,Nunavut,Kitikmeot,,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020
KBIMP_01_F11,D. Nowosad,July 21 2024,Canada,Nunavut,Kitikmeot,,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020
KBIMP_01_F12,D. Nowosad,July 21 2024,Canada,Nunavut,Kitikmeot,,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020
KBIMP_01_G1,D. Nowosad,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.158318,-105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037
KBIMP_01_G2,D. Nowosad,July 21 2024,Canada,Nunavut,Kitikmeot,,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020
KBIMP_01_G3,D. Nowosad,July 21 2024,Canada,Nunavut,Kitikmeot,,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020
KBIMP_01_G4,D. Nowosad,July 21 2024,Canada,Nunavut,Kitikmeot,,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020
KBIMP_01_G5,D. Nowosad,July 21 2024,Canada,Nunavut,Kitikmeot,,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020
KBIMP_01_G6,D. Nowosad,July 21 2024,Canada,Nunavut,Kitikmeot,,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020
KBIMP_01_G7,D. Nowosad,July 21 2024,Canada,Nunavut,Kitikmeot,,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020
KBIMP_01_G8,D. Nowosad,July 21 2024,Canada,Nunavut,Kitikmeot,,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020
KBIMP_01_G9,D. Nowosad,July 21 2024,Canada,Nunavut,Kitikmeot,,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020
KBIMP_01_G10,D. Nowosad,July 21 2024,Canada,Nunavut,Kitikmeot,,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020
KBIMP_01_G11,D. Nowosad,July 21 2024,Canada,Nunavut,Kitikmeot,,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020
KBIMP_01_G12,D. Nowosad,July 21 2024,Canada,Nunavut,Kitikmeot,,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020
KBIMP_01_H1,D. Nowosad,July 21 2024,Canada,Nunavut,Kitikmeot,,"Stream between 1st lake
 and Grenier",69.20555,-104.78194,10m,,,,,,,,,Dipnet,,,CBAY0020
KBIMP_01_H2,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132486,-104.988703,,,,,,,,,,Dipnet,,,CBAY0029
KBIMP_01_H3,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132486,-104.988703,,,,,,,,,,Dipnet,,,CBAY0029
KBIMP_01_H4,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132486,-104.988703,,,,,,,,,,Dipnet,,,CBAY0029
KBIMP_01_H5,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132486,-104.988703,,,,,,,,,,Dipnet,,,CBAY0029
KBIMP_01_H6,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132486,-104.988703,,,,,,,,,,Dipnet,,,CBAY0029
KBIMP_01_H7,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132486,-104.988703,,,,,,,,,,Dipnet,,,CBAY0029
KBIMP_01_H8,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132486,-104.988703,,,,,,,,,,Dipnet,,,CBAY0029
KBIMP_01_H9,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132486,-104.988703,,,,,,,,,,Dipnet,,,CBAY0029
KBIMP_01_H10,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132486,-104.988703,,,,,,,,,,Dipnet,,,CBAY0029
KBIMP_01_H11,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132486,-104.988703,,,,,,,,,,Dipnet,,,CBAY0029
KBIMP_002_A1,D. Nowosad,July 28 2024,Canada,Nunavut,Kitikmeot,,Freshwater river  ,69.112595,-105.010236,,,,,,,,,,Dipnet,,,CBAY0026
KBIMP_002_A2,D. Nowosad,July 28 2024,Canada,Nunavut,Kitikmeot,,Freshwater river  ,69.112595,-105.010236,,,,,,,,,,Dipnet,,,CBAY0026
KBIMP_002_A3,D. Nowosad,July 28 2024,Canada,Nunavut,Kitikmeot,,Freshwater river  ,69.112595,-105.010236,,,,,,,,,,Dipnet,,,CBAY0026
KBIMP_002_A4,D. Nowosad,July 28 2024,Canada,Nunavut,Kitikmeot,,Freshwater river  ,69.112595,-105.010236,,,,,,,,,,Dipnet,,,CBAY0026
KBIMP_002_A5,D. Nowosad,July 28 2024,Canada,Nunavut,Kitikmeot,,Freshwater river  ,69.112595,-105.010236,,,,,,,,,,Dipnet,,,CBAY0026
KBIMP_002_A6,D. Nowosad,July 28 2024,Canada,Nunavut,Kitikmeot,,Freshwater river  ,69.112595,-105.010236,,,,,,,,,,Dipnet,,,CBAY0026
KBIMP_002_A7,D. Nowosad,July 28 2024,Canada,Nunavut,Kitikmeot,,Freshwater river  ,69.112595,-105.010236,,,,,,,,,,Dipnet,,,CBAY0026
KBIMP_002_A8,D. Nowosad,July 28 2024,Canada,Nunavut,Kitikmeot,,Freshwater river  ,69.112595,-105.010236,,,,,,,,,,Dipnet,,,CBAY0026
KBIMP_002_A9,D. Nowosad,July 28 2024,Canada,Nunavut,Kitikmeot,,Freshwater river  ,69.112595,-105.010236,,,,,,,,,,Dipnet,,,CBAY0026
KBIMP_002_A10,D. Nowosad,July 28 2024,Canada,Nunavut,Kitikmeot,,Freshwater river  ,69.112595,-105.010236,,,,,,,,,,Dipnet,,,CBAY0026
KBIMP_002_A11,D. Nowosad,July 28 2024,Canada,Nunavut,Kitikmeot,,Freshwater river  ,69.112595,-105.010236,,,,,,,,,,Dipnet,,,CBAY0026
KBIMP_002_A12,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030
KBIMP_002_B1,D. Nowosad,July 21 2024,Canada,Nunavut,Kitikmeot,,Between 1st lake and grenier,69.204444,-104.773889,,,,,,,,,,Surber net,,,CBAY0021
KBIMP_002_B2,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030
KBIMP_002_B3,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030
KBIMP_002_B4,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030
KBIMP_002_B5,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030
KBIMP_002_B6,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030
KBIMP_002_B7,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030
KBIMP_002_B8,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030
KBIMP_002_B9,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030
KBIMP_002_B10,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030
KBIMP_002_B11,D. Nowosad,July 24 2024,Canada,Nunavut,Kitikmeot,,Freshwater river by picnic area ,69.132438,-104.988833,,,,,,,,,,Surber net,,,CBAY0030
KBIMP_002_B12,Cassia,June 7 2024,Canada,Nunavut,Kitikmeot,,Kitigak River - Site 1,69.20525,-104.78947,,,,,,,,,,Surber net,,,CBAY0017
KBIMP_002_C1,Cassia,June 7 2024,Canada,Nunavut,Kitikmeot,,Kitigak River - Site 1,69.20525,-104.78947,,,,,,,,,,Surber net,,,CBAY0017
KBIMP_002_C2,Cassia,June 7 2024,Canada,Nunavut,Kitikmeot,,Kitigak River - Site 1,69.20525,-104.78947,,,,,,,,,,Surber net,,,CBAY0017
KBIMP_002_C3,Cassia,June 7 2024,Canada,Nunavut,Kitikmeot,,Kitigak River - Site 1,69.20525,-104.78947,,,,,,,,,,Surber net,,,CBAY0017
KBIMP_002_C4,Cassia,June 7 2024,Canada,Nunavut,Kitikmeot,,Kitigak River - Site 1,69.20525,-104.78947,,,,,,,,,,Surber net,,,CBAY0017
KBIMP_002_C5,Cassia,June 7 2024,Canada,Nunavut,Kitikmeot,,Kitigak River - Site 1,69.20525,-104.78947,,,,,,,,,,Surber net,,,CBAY0017
KBIMP_002_C6,Cassia,June 7 2024,Canada,Nunavut,Kitikmeot,,Kitigak River - Site 1,69.20525,-104.78947,,,,,,,,,,Surber net,,,CBAY0017
KBIMP_002_C7,Cassia,June 7 2024,Canada,Nunavut,Kitikmeot,,Kitigak River - Site 1,69.20525,-104.78947,,,,,,,,,,Surber net,,,CBAY0017
KBIMP_002_C8,Cassia,June 7 2024,Canada,Nunavut,Kitikmeot,,Kitigak River - Site 1,69.20525,-104.78947,,,,,,,,,,Surber net,,,CBAY0017
KBIMP_002_C9,Cassia,June 7 2024,Canada,Nunavut,Kitikmeot,,Kitigak River - Site 1,69.20525,-104.78947,,,,,,,,,,Surber net,,,CBAY0017
KBIMP_002_C10,O. Colman,July 29 2024,Canada,Nunavut,Kitikmeot,,Creek South of Pelly Road,69.119246,-105.127423,,,,,,,,,,Surber net,,,CBAY 0038
KBIMP_002_C11,O. Colman,July 29 2024,Canada,Nunavut,Kitikmeot,,Creek South of Pelly Road,69.119246,-105.127423,,,,,,,,,,Surber net,,,CBAY 0038
KBIMP_002_C12,O. Colman,July 29 2024,Canada,Nunavut,Kitikmeot,,Creek South of Pelly Road,69.119246,-105.127423,,,,,,,,,,Surber net,,,CBAY 0038
KBIMP_002_D1,O. Colman,July 29 2024,Canada,Nunavut,Kitikmeot,,Creek South of Pelly Road,69.119246,-105.127423,,,,,,,,,,Surber net,,,CBAY 0038
KBIMP_002_D2,O. Colman,July 29 2024,Canada,Nunavut,Kitikmeot,,Creek South of Pelly Road,69.119246,-105.127423,,,,,,,,,,Surber net,,,CBAY 0038
KBIMP_002_D3,O. Colman,July 29 2024,Canada,Nunavut,Kitikmeot,,Creek South of Pelly Road,69.119246,-105.127423,,,,,,,,,,Surber net,,,CBAY 0038
KBIMP_002_D4,O. Colman,July 29 2024,Canada,Nunavut,Kitikmeot,,Creek South of Pelly Road,69.119246,-105.127423,,,,,,,,,,Surber net,,,CBAY 0038
KBIMP_002_D5,O. Colman,July 29 2024,Canada,Nunavut,Kitikmeot,,Creek South of Pelly Road,69.119246,-105.127423,,,,,,,,,,Surber net,,,CBAY 0038
KBIMP_002_D6,O. Colman,July 29 2024,Canada,Nunavut,Kitikmeot,,Creek South of Pelly Road,69.119246,-105.127423,,,,,,,,,,Surber net,,,CBAY 0038
KBIMP_002_D7,O. Colman,July 29 2024,Canada,Nunavut,Kitikmeot,,Creek South of Pelly Road,69.119246,-105.127423,,,,,,,,,,Surber net,,,CBAY 0038
KBIMP_002_D8,O. Colman,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.13247,-104.988683,,,,,,,,,,Sweep net,,,CBAY0022
KBIMP_002_D9,O. Colman,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.13247,-104.988683,,,,,,,,,,Sweep net,,,CBAY0022
KBIMP_002_D10,O. Colman,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.13247,-104.988683,,,,,,,,,,Sweep net,,,CBAY0022
KBIMP_002_D11,O. Colman,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.13247,-104.988683,,,,,,,,,,Sweep net,,,CBAY0022
KBIMP_002_D12,O. Colman,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.13247,-104.988683,,,,,,,,,,Sweep net,,,CBAY0022
KBIMP_002_E1,O. Colman,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.13247,-104.988683,,,,,,,,,,Sweep net,,,CBAY0022
KBIMP_002_E2,O. Colman,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.13247,-104.988683,,,,,,,,,,Sweep net,,,CBAY0022
KBIMP_002_E3,O. Colman,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.13247,-104.988683,,,,,,,,,,Sweep net,,,CBAY0022
KBIMP_002_E4,O. Colman,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.13247,-104.988683,,,,,,,,,,Sweep net,,,CBAY0022
KBIMP_002_E5,O. Colman,July 25 2024,Canada,Nunavut,Kitikmeot,,DEW Line Rd,69.13247,-104.988683,,,,,,,,,,Sweep net,,,CBAY0022
KBIMP_002_E6,O. Colman,July 25 2024,Canada,Nunavut,Kitikmeot,,1st creek/the ravine,69.132925,-105.461572,,,,,,,,,,Sweep net,,,CBAY0036
KBIMP_002_E7,O. Colman,July 25 2024,Canada,Nunavut,Kitikmeot,,1st creek/the ravine,69.132925,-105.461572,,,,,,,,,,Sweep net,,,CBAY0036
