Sample,Site,Sample Replicate,Date set,Date collected,Collector,Sample type collection method,Lat,Lon,Elevation (m),Habitat type,Sample current location,Distance from water (m),HOBO tracker #,HOBO deployment date ,HOBO deployment time ,Temp C (Sweep),Relative Humidity (Sweep),DEWpt degrees C (sweep) ,Collection time period,Perservative,Notes,SHIPPING INFO,OWNER,Mosquito Head Abundance,Blackfly Head Abundance,Mosquito body count,Blackfly body count,When sorted,Mosquito head code,Blackfly head code,Mosquito body code,Blackfly body code,,,,,,,,
CBAY0107,River at Swimming hole ,Sample 2,N/A,04-Aug-25,L. Chan,Sweep net,69.1293,-104.99179,6,Lotic,Mail,0-5,22332997,04-Aug-25,13:27,22.41,51.78,12.02,5 mins,30 ml of 100% ETOH,"Quite windy and sunny;
Bushes fairly large and continuous",Box 1,Guelph,4,500,4,499,never sorted in 96-well plate,CBAY_0107_M_H,CBAY_0107_BF_H,CBAY_0107_M_B,CBAY_0107_BF_B,,,,,,,,
CBAY0108,Airport Road 5,Sample 1,N/A,05-Aug-25,S. Dworatzek,Sweep net,69.11612,-105.08144,10,Lentic,Mail,10-15,22332997,05-Aug-25,15:59,17.01,64.11,10.19,5 mins,30 ml of 100% ETOH,"Samples taken in the same place as last time;
Bushes fragmented, some large and some small; ground dry in some parts and slightly wet in others, bushes very dusty
Ground dry with small creek coming out of pond on the middle of sample 1, evidence of another one which dried up ",Box 2,Guelph,32,168,32,168,Sorted into 96-well plates first ,CBAY_0108_M_H,CBAY_0108_BF_H,CBAY_0108_M_B,CBAY_0108_BF_B,,,,,,,,
CBAY0109,Pond in front of Dump,Sample 1,N/A,22-Jul-25,S. Dworatzek,Sweep net,69.121082,-105.043032,3,Lentic,Mail,1,22332997,22-Jul-25,10:49,8.94,67.09,3.3,3 mins,75 ml of 100% ETOH,"We were using the transect method where we sampled two replicates along each transect at each distance 
from the freshwater, We sampled in a bushy that was the large willow bushes, there was a lot of garbage, 
There was a lot of birds in the pond (swan, ducks, phaloropes)","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701317283",Guelph,,,,,,,,,,,,,,,,,
CBAY0110,Greiner Lake Inlet,Haphazard 1,N/A,21-Jul-25,"J. Bernhardt, L. Chan, S. Dworatzek",Sweep net,69.178445,-104.819465,CHECK WAY POINT,Lentic,Mail,1,N/A,N/A,N/A,,,,not recorded ,75 ml of 100% ETOH,"Samples taken by sweeping in bushes - it was too cold and windy for insects, sample was combined between 
sweeping from both Lilian and Shauna, we were still distilling our method, 
we may not have been collecting at the best spot in this location because the HTO got more insects in their sample, 
lost some insects due to asperator not working the best, a little bit chaotic because we were running as we swept","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701317283",Guelph,0,2,0,2,never sorted in 96-well plate,N/A,CBAY_0110_BF_H,N/A,CBAY_0110_BF_B,,,,,,,,
CBAY0111,Construction Shop 1,Sample 4,N/A,23-Jul-25,L. Chan,Sweep net,69.126489,-105.038541,7,Lentic,Mail,12.1,22332997,23-Jul-25,11:56,7.8,83.56,5.2,3 mins,75 ml of 100% ETOH,"Sweep net along 15 m transect line for 3 mins, 
Rocky and low level veg with some grasses ","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,,,,,,,,,,,,,,,,,
CBAY0112,Construction Shop 1,Sample 2,N/A,23-Jul-25,L. Chan,Sweep net,69.126489,-105.038541,7,Lentic,Mail,12.3,22332997,23-Jul-25,11:27,8.7,74.31,4.39,3 mins,75 ml of 100% ETOH,"Sweep net along a 15 meters transect line parallel to the edge of the pond for 3 mins;
Rocky and low level veg with some grasses ","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,,,,,,,,,,,,,,,,,
CBAY0114,Creek at end of Pelly Road,Sample 2,N/A,24-Jul-25,L. Chan,Sweep net,69.204162,-104.774428,21,Lotic,Mail,20-25,22332997,24-Jul-25,12:21,12.26,55.76,3.69,5 mins,75 ml of 100% ETOH,Swampy with some puddles,"Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701317283",Guelph,1,1,1,1,previously sorted into 96 well plates ,CBAY0114_M_H,CBAY0114_BF_H,CBAY0114_M_B,CBAY0114_BF_B,,,,,,,,
CBAY0115,First Creek,Haphazard 1,N/A,22-Jul-25,S. Dworatzek,Sweep net,69.13284,-105.463245,-5,Lotic,Mail,N/A,22332997,22-Jul-25,N/A,N/A,N/A,N/A,N/A,75 ml of 100% ETOH,"Sweep net haphazardly; 
Rocky, area protected by a high bluff, shallow creek with a few large erratics, creek is audibly moving;
damp soil on creek edge with pools around, grasses on far side;
light breeze and overcast on the date of collection","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,3,19,2,19,previously sorted into 96 well plates ,CBAY0115_M_H,CBAY0115_BF_H,CBAY0115_M_B,CBAY0115_BF_B,,,,,,,,
CBAY0117,Construction Shop 1,Sample 1,N/A,23-Jul-25,S. Dworatzek,Sweep net,69.126489,-105.038541,7,Lentic,Mail,1,22332997,23-Jul-25,11:27,8.7,74.31,4.39,3 mins,75 ml of 100% ETOH,"We used a new method for sampling from now on: sweep net along a 15 meters transect line parallel to the edge of the pond for 3 mins;
Mossy, swampy, grassy, with many large puddles of water some of which were quite deep and some connected to the pond","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,,,,,,,,,,,,,,,,,
CBAY0118,Construction Shop 1,Sample 3,N/A,23-Jul-25,S. Dworatzek,Sweep net,69.126489,-105.038541,7,Lentic,Mail,0.6,22332997,23-Jul-25,11:56,7.8,83.56,5.2,3 mins,75 ml of 100% ETOH,"Sweep net along 15 m transect line for 3 mins, area was marshy and wet with high grass but not any bushes, 
many wet puddles some of which connected to the pond others were completely seperate  ","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,0,0,0,0,,N/A,N/A,N/A,N/A,,,,,,,,
CBAY0119,Freshwater river,Haphazard 1,N/A,21-Jul-25,"J. Bernhardt, L. Chan, S. Dworatzek",Sweep net,69.143364,-104.945461,13,Lentic,Mail,1,N/A,N/A,N/A,,,,not recorded ,75 ml of 100% ETOH,"Only Shauna collected this sample,
Also cold and windy so not many bugs were seen but we got more bugs compared to Greiner Lake sample collected on the same day
We sweep net around the bushes
Slightly less chaotic than the above sample.","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,0,0,0,0,,N/A,N/A,N/A,N/A,,,,,,,,
CBAY0122,Construction Shop 2,Sample 4,N/A,23-Jul-25,L. Chan,Sweep net,69.126152,-105.043931,21,Lentic,Mail,20.3,22332997,23-Jul-25,10:38,11.42,61.51,4.3,1 min 30s,75 ml of 100% ETOH,"Very grassy agrea with some of the grass being quite tall, spot was quite dry and maybe even a little rocky with the most prominent feature being the tall grass ","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701317283",Guelph,,,,,,,,,,,,,,,,,
CBAY0123,Construction Shop 2,Haphazard 2,N/A,23-Jul-25,L. Chan,Sweep net,69.126152,-105.043931,21,Lentic,Mail,N/A,22332997,23-Jul-25,10:38,11.42,61.51,4.3,3 mins,75 ml of 100% ETOH,Sweep net haphazardly for 3 mins,"Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,1,0,1,0,previously sorted into 96 well plates ,CBAY0123_M_H,N/A,CBAY0123_M_B,N/A,,,,,,,,
CBAY0126,Construction Shop 2,Sample 3,N/A,23-Jul-25,S. Dworatzek,Sweep net,69.126152,-105.043931,21,Lentic,Mail,13.2,22332997,23-Jul-25,10:38,11.42,61.51,4.3,1 min 30s,75 ml of 100% ETOH,"Very grassy agrea with some of the grass being quite tall, not very wet compared to other locations like construction shop 1","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701317283",Guelph,,,,,,,,,,,,,,,,,
CBAY0127,Freshwater river,Sample 4,N/A,23-Jul-25,L. Chan,Sweep net,69.143213,-104.945246,12,Lotic,Mail,2.4,22332997,23-Jul-25,16:31,8.2,70.05,3.08,3 mins,75 ml of 100% ETOH,"Was much more sheltered in this bushy area and the ground was wet and very mossy, 
but no puddles on the ground just more moist and completely covered with rocks, 
also near a part of the river which did not move as fast","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,,,,,,,,,,,,,,,,,
CBAY0132,Airport Road 2,Sample 1,N/A,27-Jul-25,L. Chan,Sweep net,69.11678,-105.088061,11,Lentic,Mail,15-25,22332997,27-Jul-25,4:07,9.69,65.61,3.61,5 mins,30 ml of 100% ETOH,"Only tall grass which was lighter in colour (brown);
Ground very wet with orangish mud, 
has puddles on the gound some fairly large ","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,0,1,0,1,previously sorted into 96 well plates ,N/A,CBAY_0132_BF_H,N/A,CBAY_0132_BF_B,,,,,,,,
CBAY0134,The Beach,Haphazard 1,N/A,22-Jul-25,S. Dworatzek,Sweep net,69.105726,-105.404446,,Terrestrial,Mail,N/A,22332997,22-Jul-25,16:39,11.5,58.43,3.8,3 mins,75 ml of 100% ETOH,"Sweep net haphazardly in grassy area (looking for sandflies)
some wet divits;
Environmental measurements may not be accurate since the HOBO was not given enough time to adjust to ambient environment","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701317283",Guelph,0,0,0,0,,N/A,N/A,N/A,N/A,,,,,,,,
CBAY0135,Pond in front of Dump,Sample 1,N/A,22-Jul-25,S. Dworatzek,Sweep net,69.121082,-105.043032,3,Lentic,Mail,21,22332997,22-Jul-25,11:24,8.32,73.43,3.36,3 mins,75 ml of 100% ETOH,"Rocky and barren ground woth some grassy bushes but otherwise empty, still managed to get one bug but it may 
have already been dead apon collection","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,0,0,0,0,,N/A,N/A,N/A,N/A,,,,,,,,
CBAY0136,River at Swimming hole ,Opportunistic ,N/A,24-Jul-25,L. Chan,Taking mosquitoes off people with aspirator,69.12863,-104.98762,ASK TAD,Lotic,Mail,N/A,22332997,24-Jul-25,1:35,13.28,55.4,4.55,N/A,75 ml of 100% ETOH,Got many mosquitoes,"Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701317283",Guelph,25,52,24,52,previously sorted into 96 well plates ,CBAY0136_M_H,CBAY0136_BF_H,CBAY0136_M_B,CBAY0136_BF_B,,,,,,,,
CBAY0137,First Creek,Sample 1,N/A,22-Jul-25,S. Dworatzek,Sweep net,69.13284,-105.463245,-5,Lotic,Mail,1,22332997,22-Jul-25,N/A,10,72,N/A,3 mins,75 ml of 100% ETOH,"Rocky, area protected by a high bluff, shallow creek with a few large erratics, creek is audibly moving;
damp soil on creek edge with pools around, grasses on far side;
light breeze and overcast on the date of collection;
1 m from the creek on transect, not bushy and likely the reason we did not get much (sample 2 has nothing)","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,0,0,0,0,,N/A,N/A,N/A,N/A,,,,,,,,
CBAY0139,First Creek,Sample 1,N/A,22-Jul-25,S. Dworatzek,Sweep net,69.13284,-105.463245,-5,Lotic,Mail,11,22332997,22-Jul-25,N/A,9.25,65.52,N/A,3 mins,75 ml of 100% ETOH,"Rocky, area protected by a high bluff, shallow creek with a few large erratics, creek is audibly moving;
damp soil on creek edge with pools around, grasses on far side;
light breeze and overcast on the date of collection;
Near small pond 11 m from the creek on transect, have some bushes but not overly bushy","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,0,0,0,0,,N/A,N/A,N/A,N/A,,,,,,,,
CBAY0140,Creek at end of Pelly Road,Opportunistic,N/A,24-Jul-25,L. Chan,"Taking mosquitoes off people with aspirator
""i.e. sucking off people"" - Shauna",69.204162,-104.774428,21,Lotic,Mail,N/A,22332997,24-Jul-25,12:21,12.26,55.76,3.69,N/A,75 ml of 100% ETOH,Got many mosquitoes,"Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701317283",Guelph,56,0,51,0,previously sorted into 96 well plates ,CBAY0140_M_H,N/A,CBAY0140_M_B,N/A,,,,,,,,
CBAY0141,Creek at end of Pelly Road,Haphazard 1,N/A,24-Jul-25,"T. McIlwraith, J. Bernhardt",Sweep net,69.204162,-104.774428,21,Lotic,Mail,N/A,22332997,24-Jul-25,12:21,12.26,55.76,3.69,N/A,75 ml of 100% ETOH,,"Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701317283",Guelph,11,0,11,0,never sorted in 96-well plate,CBAY0141_M_H,N/A,CBAY0141_M_B,N/A,,,,,,,,
CBAY0142,Construction Shop 3,Sample 2,N/A,26-Jul-25,L. Chan,Sweep net,69.125642,-105.035794,-3,Lentic,Mail,0-5,22332997,26-Jul-25,12:12,12.8,66.07,6.71,5 mins,30 ml of 100% ETOH,"Sampled at a different pond nearby (pond 3)
Lots of bushes, wet ground with puddles","""Shipped July 31, 2025 express post - 7 day shipping  shipping #- 0690090821858284""",Guelph,0,0,0,0,,,,,,,,,,,,,
CBAY0143,Freshwater river,Sample 3,N/A,23-Jul-25,S. Dworatzek,Sweep net,69.143213,-104.945246,12,Lotic,Mail,4.9,22332997,23-Jul-25,16:31,8.2,70.05,3.08,3 mins,75 ml of 100% ETOH,Didn't record HOBO deployment time ,"Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701317283",Guelph,,,,,,,,,,,,,,,,,
CBAY0144,First Creek,Haphazard 2,N/A,22-Jul-25,L. Chan,Sweep net,69.13284,-105.463245,-5,Lotic,Mail,N/A,22332997,22-Jul-25,N/A,N/A,N/A,N/A,N/A,75 ml of 100% ETOH,"Sweep net haphazardly;
Rocky, area protected by a high bluff, shallow creek with a few large erratics, creek is audibly moving;
damp soil on creek edge with pools around, grasses on far side;
light breeze and overcast on the date of collection;
In SD's fieldbook this sample was CBAY0117, but the sample was actually placed in a bottle labeled CBAY0144","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,0,0,0,0,,,,,,,,,,,,,
CBAY0145,The Beach,Haphazard 2,N/A,22-Jul-25,L. Chan,Sweep net,69.105726,-105.404446,,Terrestrial,Mail,N/A,22332997,22-Jul-25,16:39,11.5,58.43,3.8,3 mins,75 ml of 100% ETOH,"Sweep net haphazardly; 
Environmental measurements may not be accurate since the HOBO was not given enough time to adjust to ambient environment","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,0,0,0,0,,,,,,,,,,,,,
CBAY0146,Freshwater river,Sample 2,N/A,23-Jul-25,L. Chan,Sweep net,69.143213,-104.945246,12,Lotic,Mail,3.2,22332997,23-Jul-25,15:46,10.95,58.65,3.18,3 mins,75 ml of 100% ETOH,"Hole in net may have lost some insects on collection, sampled along a 15 m transect, 
put transect along the side of the river which was more sheltered;
mostly bushes","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,0,0,0,0,,,,,,,,,,,,,
CBAY0147,River at Swimming hole ,Sample 2,N/A,24-Jul-25,S. Dworatzek,Sweep net,69.12863,-104.98762,ASK TAD,Lotic,Mail,0-5,22332997,24-Jul-25,1:35,13.28,55.4,4.55,5 mins,75 ml of 100% ETOH,"Really long patch of bushes on one side of the river which was wet in some pacthes with moss but mainly sampling from the bushes, 
Taped up net and brought back to lab to asperate ","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701317283",Guelph,1,20,1,20,previously sorted into 96 well plates ,CBAY0147_M_H,CBAY0147_BF_H,CBAY0147_M_B,CBAY0147_BF_H,,,,,,,,
CBAY0148,Creek at end of Pelly Road,Sample 1,N/A,23-Jul-25,S. Dworatzek,Sweep net,69.204162,-104.774428,21,Lotic,Mail,7.6,22332997,23-Jul-25,14:29,11.29,58.52,3.56,3 mins,75 ml of 100% ETOH,"Bushes along sample, sample taken along 15 m transect, more rocky and dry here with some out cropped bushes ","Shipped July 25, 2025
express post - 7 day shipping 
shipping #- 0690090701412285",Guelph,0,0,0,0,,N/A,N/A,N/A,N/A,,,,,,,,
