Sample,Date set,Date collected,Collector,Site,Sample type collection method,Lat,Lon,Elevation (m),Habitat type,Sample current location,Notes,SHIPPING INFO,Specimen Count,OWNER,Mosquito Head Abundance,Blackfly Head Abundance,Mosquito body count,Blackfly body count,Mosquito head code,Blackfly head code,Mosquito body code,Blackfly body code,,
KGLTK0063,20-Jun-25,20-Jun-25,"Beau T, Jeff Nip",Behind town,sweep net,67 48. 9982,115 06. 8780,20 m,Terrestrial,In transit,,"Shipped Canada Post July 3, 0690368306236290",,KAA,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0066,June 21 2025,,beau jeff,behind town,sweep net,67 48 9982,115 06 8780,20m,,,,,,,,,,,,,,,,
KGLTK0067,30-Jun,07-Jul-25,beau darlene,behind town,malaise trap,67 48 1315,115 13 4827,0m,,CBG,"0067 was labelled in sheet as Jul7-Jul14 (we later found a bottle correspond to this; it was 0097)
but bottle states Jun30 as the date
Sampled from Jun30-Jul7 did not have sample number in sheet
So we changed the sample number to 0067","Shipped Canada Post July 28, GD419078983CA",,,15,3,15,3,KGLTK0067_M_H,KGLTK0067_BF_H,KGLTK0067_M_B,KGLTK0067_BF_B,,
KGLTK0068,30-Jun,07-Jul-25,beau darlene,4 mile bay,malaise trap,67 48 9990,115 06 8863,0m,,CBG,,"Shipped Canada Post July 28, GD419078983CA",,,25,0,25,0,KGLTK0068_M_H,N/A,KGLTK0068_M_B,N/A,,
KGLTK0069,30-Jun,07-Jul-25,beau darlene,heart lake,malaise trap,67 48 1373,115 13 4858,1m,,CBG,,"Shipped Canada Post July 28, GD419078983CA",,,5,0,5,0,KGLTK0069_M_H,N/A,KGLTK0069_M_B,N/A,,
KGLTK0070,30-Jun,07-Jul-25,beau darlene,4 mile bay,malaise trap,67 51 0853,115 16 3160,13m,,CBG,,"Shipped Canada Post July 28, GD419078983CA",,,36,0,36,0,KGLTK0070_M_H,N/A,KGLTK0070_M_B,N/A,,
KGLTK0097,July 7 2025,14-Jul-25,jeff darlene,behind town,malaise tent,67 48 7294,115 07 4620,-19m,,CBG,"We found a bottle that is correspond to this sample, but the date on the bottle is Jul 8;
This sample was recorded as 0067 in the sheet but the bottle for this data is 0097 so we changed the sheet to reflect this","Shipped Canada Post July 28, GD419078983CA",,,9,0,9,0,KGLTK0097_M_H,N/A,KGLTK0097_M_B,N/A,,
KGLTK0098,10-Jul,July 17 2025,jeff darlene,4 mile bay,malaise trap,67 48 6688,115 07 6803,0m,,CBG,"Sample number was originally 0103 on this sheet (a duplicate), but we found a bottle correspond to this sample (0098)
So we changed the sample number;
The date on 0098 is July 11","Shipped Canada Post July 28, GD419078983CA",,,5,0,5,0,KGLTK0098_M_H,N/A,KGLTK0098_M_B,N/A,,
KGLTK0100,16-Jul,23-Jul-25,,heart lake,malaise trap,67 48 1296,115 13 4749,51m,,CBG,,"Shipped Canada Post July 28, GD419078983CA",,,2,0,2,0,KGLTK0100_M_H,N/A,KGLTK0100_M_B,N/A,,
KGLTK0101,07-Jul,14-Jul-25,beau jeff derek,heart lake,malaise trap,67 49 4015,115 08 7704,om,,CBG,,"Shipped Canada Post July 28, GD419078983CA",,,5,0,5,0,KGLTK0101_M_H,N/A,KGLTK0101_M_B,N/A,,
KGLTK0102,07-Jul,14-Jul-25,beau jeff derek,4 Mile Bay,malaise trap,67 49 4970,115 05 4188,0m,,CBG,,"Shipped Canada Post July 28, GD419078983CA",,,19,3,19,19,KGLTK0102_M_H,KGLTK0102_BF_H,KGLTK0102_M_B,KGLTK0102_BF_H,,
KGLTK0103,July 7 2025,14-Jul-25,jeff derek,4 mile bay,malaise tent,67 51 0799,115 16 3175,16m,,CBG,Date on bottle is Jul 7 - Jul 10,"Shipped Canada Post July 28, GD419078983CA",,,2,1,2,1,KGLTK0103_M_H,KGLTK0103_BF_H,KGLTK0103_M_B,KGLTK0103_BF_B,,
KGLTK0104,07-Jul,,beau derek,outside hto,sweep net,67 49 4981,115 05 4190,22m,,CBG,,"Shipped Canada Post July 28, GD419078983CA",,,5,0,5,0,KGLTK0104_M_H,N/A,KGLTK0104_M_B,N/A,,
KGLTK0105,17-Jul,,darlene derek perry,water intake,sweepnet,67 49 2211,115 05 1286,6m,,CBG,,"Shipped Canada Post July 28, GD419078983CA",,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0106,17-Jul-25,,Thomas Dumond,Locker Point,sweep net,,,,,CBG,"There is another label on this bottle (0004: Ulukvik on Jul 8, 2025)","Shipped Canada Post July 28, GD419078983CA",,,,,,,,,,,,
KGLTK0107,24-Jul-25,31-Jul-25,Derek Perry,bardge dock,malaise trap,67 48. 6298,115 07. 4681,,,CBG,,"Shipped canada post aug 21, 2025",,,12,2,12,2,KGLTK0107_M_H,KGLTK0107_BF_H,KGLTK0107_M_B,KGLTK0107_BF_B,,
KGLTK0108,18-Jul-25,24-Jul-25,Derek Perry,4 mile bay,malaise trap,67 51. 0722,115 16. 3275,6m,,CBG,,"Shipped Canada Post July 28, GD419078983CA",,,12,0,12,0,KGLTK0108_M_H,N/A,KGLTK0108_M_B,N/A,,
KGLTK0109,18-Jul-25,24-Jul-25,Derek Perry,gullies,malaise trap,67 48. 6341,115 07. 4889,25m,,CBG,,"Shipped Canada Post July 28, GD419078983CA",,,2,0,2,0,KGLTK0109_M_H,N/A,KGLTK0109_M_B,N/A,,
KGLTK0110,18-Jul-25,24-Jul-25,Derek Perry,heart lake,malaise trap,67 48. 1266,115 13. 4751,56m,,CBG,,"Shipped Canada Post July 28, GD419078983CA",,,1,0,1,0,KGLTK0110_M_H,N/A,KGLTK0110_M_B,N/A,,
KGLTK0111,24-Jul-25,31-Jul-25,Derek Perry,4 mile bay,malaise trap,67 51. 0820,115 16. 3133,22m,,CBG,,"Shipped canada post aug 21, 2025",,,0,1,0,1,N/A,KGLTK0111_BF_H,N/A,KGLTK0111_BF_B,,
KGLTK0112,24-Jul-25,31-Jul-25,Derek Perry,heart lake,malaise trap,67 48. 1325,115 13. 4752,53m,,CBG,,"Shipped canada post aug 21, 2025",,,2,3,2,3,KGLTK0112_M_H,KGLTK0112_BF_H,KGLTK0112_M_B,KGLTK0112_BF_B,,
KGLTK0113,24-Jul-25,31-Jul-25,Derek Perry,behind town,malaise trap,67 48. 6317,115 07. 4555,10m,,CBG,,"Shipped canada post aug 21, 2025",,,0,7,0,7,N/A,KGLTK0113_BF_H,N/A,KGLTK0113_BF_B,,
KGLTK0114,31-Jul-25,,Amanda,HTO,sweep(caught),67 48. 6351,115 07. 4677,,,CBG,,"Shipped canada post aug 21, 2025",,,,,,,,,,,,
KGLTK0115,01-Aug-25,01-Aug-25,Beau,Behind town,Sweep Net,67 49. 0064,115 06. 9036,15m,,CBG,,"Shipped canada post aug 21, 2025",,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0116,31-Jul-25,07-Aug-25,Beau,4 Mile Bay,Malaise Trap,67 51. 0883,115 16. 3261,23m,,CBG,"Date on sheet a week later than date in bottle, changed to bottle week since sample 0111 covers the first week","Shipped canada post aug 21, 2025",,,0,4,0,4,N/A,KGLTK0116_BF_H,N/A,KGLTK0116_BF_B,,
KGLTK0117,31-Jul-25,07-Aug-25,Beau,Bardge dock,Malaise Trap,67 49. 4000,115 08. 7554,23m,,CBG,"Date on sheet a week later than date in bottle, changed to bottle week since sample 0111 covers the first week","Shipped canada post aug 21, 2025",,,1,1,1,1,KGLTK0117_M_H,KGLTK0117_BF_H,KGLTK0117_M_B,KGLTK0117_BF_B,,
KGLTK0118,31-Jul-25,07-Aug-25,Beau,Heart Lake,Malaise tap,67 48. 1350,115 13. 4773,38m,,CBG,"Date on sheet a week later than date in bottle, changed to bottle week since sample 0111 covers the first week","Shipped canada post aug 21, 2025",,,0,1,0,1,N/A,KGLTK0118_BF_H,N/A,KGLTK0118_BF_B,,
KGLTK0119,31-Jul-25,07-Aug-25,Beau,Behind town,Malaise Trap,67 48. 6312,115 07. 4666,11m,,CBG,"Date on sheet a week later than date in bottle, changed to bottle week since sample 0111 covers the first week","Shipped canada post aug 21, 2025",,,1,0,1,0,KGLTK0119_M_H,N/A,KGLTK0119_M_B,N/A,,
KGLTK0120,02-Aug-25,01-Aug-25,Beau,under westwood hill,Sweep Net,67 49. 4686,115 06. 8711,39m,,CBG,,"Shipped canada post aug 21, 2025",,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0121,15-Aug-25,15-Aug-25,derek beau,behind horse shoe,sweep net,67 49. 4773,115 05. 0605,27m,,CBG,,"Shipped canada post aug 21, 2025",,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0122,07-Aug-25,14-Aug-25,derek beau,heart lake,Malaise trap,67 51. 0808,115 16. 3258,0m,,CBG,,"Shipped canada post aug 21, 2025",,,0,0,0,0,,,,,,
KGLTK0123,Aug 7 2025,14-Aug-25,"Derek, Beau",4 mile bay,malaise trap,67 51. 0836,115 16. 3180,14m,,CBG,,"Shipped canada post aug 21, 2025",,,0,5,0,5,N/A,KGLTK0123_BF_H,N/A,KGLTK0123_BF_B,,
KGLTK0124,Aug 8 2025,,Derek beau,Bardge Dock,sweep net,67 49. 2234,115 05. 1277,0m,,CBG,,"Shipped canada post aug 21, 2025",,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0125,Aug 11 2025,,Derek beau,S Lake,sweep net,67 49. 4692,115 06. 8985,0m,,CBG,,"Shipped canada post aug 21, 2025",,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0126,Aug 7 2025,14-Aug-25,Derek Beau,Behind town,Malaise Trap,67 49.4682,115 06. 8708,0m,,CBG,"Date on sheet a week later than date in bottle, changed to bottle week since sample 0111 covers the first week","Shipped canada post aug 21, 2025",,,0,6,0,6,N/A,KGLTK0126_BF_H,N/A,KGLTK0126_BF_B,,
KGLTK0127,Aug 7 2025,14-Aug-25,Derek Beau,Bardge Dock,Malaise Trap,67 49. 4078,115 08. 7508,11m,,CBG,"Date on sheet a week later than date in bottle, changed to bottle week since sample 0111 covers the first week","Shipped canada post aug 21, 2025",,,1,0,1,0,KGLTK0127_M_H,N/A,KGLTK0127_M_B,N/A,,
KGLTK0128,Aug 8 2025,,Derek beau,water plant,sweep net,67 49. 2284,115 05. 1523,22m,,CBG,,"Shipped canada post aug 21, 2025",,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0129,Aug 11 2025,,Derek beau,behind town near first hill,sweep net,67 49. 0042,115 06. 8824,22m,,CBG,,"Shipped canada post aug 21, 2025",,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0130,Aug 11 2025,,Derek beau,by west wood hill,sweep net,67 69. 4455,115 08. 2269,0m,,CBG,,"Shipped canada post aug 21, 2025",,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0131,Aug 12 2025,,Derek beau,heart lake,sweep net,67 49. 2332,115 05. 2815,49m,,CBG,,"Shipped canada post aug 21, 2025",,,3,2,3,2,KGLTK0131_M_H,KGLTK0131_BF_H,KGLTK0131_M_B,KGLTK0131_BF_B,,
KGLTK0132,Aug 12 2025,,Derek beau,water plant,sweep net,67 49. 0057,115 06. 0057,0m,,CBG,,"Shipped canada post aug 21, 2025",,,0,0,0,0,N/A,N/A,N/A,N/A,N/A,
KGLTK0133,Aug 12 2025,,Derek beau,water plant,sweep net,67 49. 3465,115 05. 4239,29m,,CBG,,"Shipped canada post aug 21, 2025",,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0134,13-Aug,,Derek beau,heart lake,sweep net,67 48. 9172,115 06. 7039,0m,,CBG,,"Shipped canada post aug 21, 2025",,,1,0,1,0,KGLTK0134_M_H,N/A,KGLTK0134_M_B,N/A,,
KGLTK0135,Aug 13 2025,,Derek beau,behind town under cliff,sweep net,67 48. 9173,115 06. 7191,36m,,CBG,,"Shipped canada post aug 21, 2025",,,0,0,0,0,N/A,N/A,N/A,N/A,N/A,
KGLTK0136,Aug 13 2025,,Derek beau,behind horse shoe,sweep net,67 49. 4722,115 05. 0689,17m,,,,,,,0,0,0,0,N/A,N/A,N/A,N/A,N/A,
KGLTK0137,Aug 22 2025,,derek beau,behind horse shoe,sweep net,67 49. 4635,115 05. 1062,20m,,,,,,,0,5,0,5,N/A,KGLTK0137_BF_H,N/A,KGLTK0137_BF_B,,
KGLTK0138,15-Aug-25,15-Aug-25,derek beau,between first and second hill,sweep net,67 49. 2121,115 07. 0789,45m,,CBG,,"Shipped canada post aug 21, 2025",,,,,,,,,,,,
KGLTK0139,15-Aug-25,15-Aug-25,derek beau,by water plant,sweep net,67 49. 2653,115 05. 4481,73m,,CBG,,"Shipped canada post aug 21, 2025",,,0,0,0,0,N/A,N/A,N/A,N/A,N/A,
KGLTK0142,14-Aug-25,21-Aug-25,derek beau,Heart lake,malaise trap,67 48. 1261,115 13.4774,45m,,,,,,,0,0,0,0,N/A,N/A,N/A,N/A,N/A,
KGLTK0143,07-Aug-25,14-Aug-25,derek beau,Bardge Dock,malaise trap,67 49. 4005,115 08. 7636,-2m,,,,,,,0,3,0,3,N/A,KGLTK0143_BF_H,N/A,KGLTK0143_BF_B,,
KGLTK0144,Aug 20 2025,,derek beau,near bardge dock,sweep net,67 49. 4240,115 08. 3283,0m,,,,,,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0145,Aug 20 2025,,derek beau,by water plant,sweep net,67 49. 4201,115 07. 0806,0m,,,,,,,0,7,0,7,N/A,KGLTK0145_BF_H,N/A,KGLTK0145_BF_B,,
KGLTK0146,Aug 21 2025,Aug 28 2025,derek beau,behind town,sweep net,67 49. 4396,115 08. 3510,0m,,,SAYS SWEEP NET IN SHEET BUT MALAISE ON BOTTLE,,,,0,5,0,5,N/A,KGLTK0146_BF_H,N/A,KGLTK0146_BF_B,,
KGLTK0147,Aug 21 2025,Aug 28 2025,derek beau,4 mile bay,malaise trap,67 51. 0836,115 16. 3257,-5m,,,,,,,0,1,0,1,N/A,KGLTK0147_BF_H,N/A,KGLTK0147_BF_B,,
KGLTK0148,Aug 21 2025,,derek beau,heart lake,malaise trap,67 48. 1322,115 13. 4816,21m,,,,,,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0149,Aug 21 2025,,derek beau,on 4 mile trail by bardge dock,sweep net,67 49. 3999,115 08. 7653,-5m,,,SAYS SWEEP NET IN SHEET BUT MALAISE ON BOTTLE,,,,0,4,0,4,N/A,KGLTK0149_BF_H,N/A,KGLTK0149_BF_B,,
KGLTK0150,25-Aug-25,,derek beau,bardge dock,sweep net,67 49. 4462,115 06. 8619,0m,,,,,,,,,,,,,,,,
KGLTK0151,25-Aug-25,,derek beau,behind town,sweep net,67 49. 4659,115 06. 8352,29m,,,UNDER WEST HILL ROAD,,,,0,40,0,40,N/A,KGLTK0151_BF_H,N/A,KGLTK0151_BF_B,,
KGLTK0152,27-Aug-25,,"derek, beau",field near luckyStar,sweep net,67 49. 1972,115 05. 7451,41m,,,,,,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0153,27-Aug-25,,"derek, beau",open field neaar bardge dock,sweep net,67 49. 4935,115 07. 4476,4m,,,FEILD BETWEEN WESTWARD HILL AND BARDGE DOCK,,,,0,6,0,6,N/A,KGLTK0153_BF_H,N/A,KGLTK0153_BF_B,,
KGLTK0154,27-Aug-25,,"derek , beau",by ten plex,sweep net,67 49. 1950,115 05. 7496,0m,,,,,,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0155,28-Aug-25,04-Sep-25,"derek, beau",heart lake,sweep net,67 48. 1331,115 13. 4774,45m,,,SAYS SWEEP NET IN SHEET BUT MALAISE ON BOTTLE,,,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0156,21-Aug-25,28-Aug-25,"derek, beau",behind town,malaise trap,67 48. 6321,115 07. 4455,116m,,,,,,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0157,21-Aug-25,28-Aug-25,"derek,beau",heart lake,malaise trap,67 51. 0812,115 16. 3244,-4m,,,"Date on bottle is aug28-sept 4th and says 4 mile bay on bottle but cords match, also lots of leaves and looks more like a sweep?",,,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0181,Sept 9 2025,,"derek, beau",bardge dock,sweep net,67 49. 4150,115 08 3396,5m,,,,,,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0182,Sept 4 2025,,derek beau,4 mile bay,malaise trap,67 51. 0842,115 16. 3229,11m,,,,,,,0,1,0,1,N/A,KGLTK0182_BF_H,N/A,KGLTK0182_BF_B,,
KGLTK0183,Sept 4 2025,,derek beau,heart lake,sweep net,67 48. 0922,115 13 4254,38m,,,,,,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGltk0184,Sept 9 2025,,beau derek,under westwood hill,sweep net,67 49.4681,115 06. 8740,37m,,,,,,,,,,,,,,,,
KGLTK0185,04-Sep-25,,derek beau,heart lake,malaise trap,67 51. 0808,115 16. 3265,0m,,,,,,,0,3,0,3,N/A,KGLTK0185_BF_H,N/A,KGLTK0185_BF_B,,
KGLTK0271,30-Jun,,beau darlene,4 mile bay,sweep net,67 51 0838,115 16 3199,12m,,,,,,,32,1,32,1,KGLTK0271_M_H,KGLTK0271_BF_H,KGLTK0271_M_B,KGLTK0271_BF_B,,
KGLTK0271,30-Jun-25,30-Jun-25,"Beau T, Darlene H",4 Mile Bay,sweep net,67 41. 0838,115 16. 3199,0 m,Terrestrial,In transit,,"Shipped Canada Post July 3, 0690368306236292",,KAA,,,,,,,,,,
KGLTK0272,01-Jul-25,01-Jul-25,Jeff Nip,HTO Office,sweep net,67 49. 30,115 5. 25,0 m,Terrestrial,In transit,,"Shipped Canada Post July 3, 0690368306236298",,KAA,23,0,23,0,KGLTK0272_M_H,N/A,KGLTK0272_M_B,N/A,,
KGLTK0272,July 1 2025,,,hto office,sweep,67 49 30,0115 5 25,0m,,,,,,,,,,,,,,,,
KGLTK0273,Aug 22 2025,,derek beau,behind town,sweep net,67 49. 9454,115 06. 8744,5m,,,,,,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0274,22-Aug-25,,derek beau,under westwood hill,sweep net,67 49. 4470,115 06. 8563,36m,,,,,,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0275,01-Jul-25,01-Jul-25,Jeff Nip,HTO Office,sweep net,67 49. 30,115 5. 23,0 m,Terrestrial,In transit,,"Shipped Canada Post July 3, 0690368306236297",,KAA,30,0,32,0,KGLTK0275_M_H,N/A,KGLTK0275_M_B,N/A,,
KGLTK0275,July 1 2025,,,hto office,sweep net,67 49 30,0115 5 23,0m,,,,,,,,,,,,,,,,
KGLTK0276,01-Jul-25,01-Jul-25,Jeff Nip,By mouth of river,sweep net,67 49. 27,115 5. 0,0 m,Terrestrial,In transit,,"Shipped Canada Post July 3, 0690368306236296",,KAA,85,0,85,0,KGLTK0276_M_H,N/A,KGLTK0276_M_B,N/A,,
KGLTK0276,01-Jul,,,by mouth of river,sweep net,67 49 27,115 5 0,0m,,,,,,,,,,,,,,,,
KGLTK0277,16-Jul,23-Jul-25,darlene derek,4 mile bay,malaise trap,67 49 4027,115 08 7683,22m,,CBG,,"Shipped Canada Post July 28, GD419078983CA",,,15,1,15,1,KGLTK0277_M_H,KGLTK0277_BF_H,KGLTK0277_M_B,KGLTK0277_BF_B,,
KGLTK0278,16-Jul,23-Jul-25,darlene derek,barge dock,malaise trap,67 51 0827,115 16 3276,0m,,CBG,,"Shipped Canada Post July 28, GD419078983CA",,,8,2,8,2,KGLTK0278_M_H,KGLTK0278_BF_H,KGLTK0278_M_B,KGLTK0278_BF_B,,
KGLTK0279,17-Jul-25,24-Jul-25,darlene derek,gullies,malaise trap,67 48 6332,115 07 4678,11m,,CBG,Date on bottle is July 16,"Shipped Canada Post July 28, GD419078983CA",,,8,1,8,1,KGLTK0279_M_H,KGLTK0279_BF_H,KGLTK0279_M_B,KGLTK0279_BF_B,,
,30-Jun-25,30-Jun-25,"Beau T, Darlene H",4 Mile Bay,malaise trap,67 51. 0853,115 16. 3160,13 m,Terrestrial,In transit,No Sample Number,"Shipped Canada Post July 3, 0690368306236293",,KAA,,,,,,,,,,
,30-Jun-25,30-Jun,"Beau T, Darlene H",Heart Lake,Malaise trap,67 48. 1373,115 13. 4858,1 m,Terrestrial,In transit,No Sample Number,"Shipped Canada Post July 3, 0690368306236294",,KAA,,,,,,,,,,
,30-Jun-25,30-Jun-25,"Beau T, Darlene H",behind town,Malaise trap,67 48. 1315,115 13. 4827,0 m,Terrestrial,In transit,No Sample Number,"Shipped Canada Post July 3, 0690368306236295",,KAA,,,,,,,,,,
KGLTK0141,14-Aug-25,21-Aug-25,"Derek, Beau",Gullies,Malaise trap,67 49.4740,115 05.0697,0m,,,wasnt in sheet Shauna added in,,,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0140,14-Aug-25,21-Aug-25,"Derek, Beau",4 mile Bay,Malaise trap,67 51 0820,115 16.3171,11 m,,,wasnt in sheet Shauna added in,,,,0,3,0,3,N/A,KGLTK0140_BF_H,N/A,KGLTK0140_BF_B,,
KGLTK0188,10-Sep-25,,"Derek, Beau",Horse shoe,Sweep net,67 49.4744,115 05.0692,18 m,,,wasnt in sheet Shauna added in,,,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0189,10-Sep-25,,"Derek, Beau",By water plant,Sweep net,67 49.2529,115 05.3694,132 m,,,wasnt in sheet Shauna added in,,,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0142,14-Aug-25,21-Aug-25,"Derek, Beau",Heart Lake,Malaise trap,67 48.1261,115 13.4774,45 m,,,wasnt in sheet Shauna added in,,,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0057,10-Jun-25,18-Jun-25,Beau,4 mile bay,Malaise trap,67 49.3964,115 08.7371,,,,wasnt in sheet Shauna added in,,,,0,0,0,0,N/A,N/A,N/A,N/A,,
KGLTK0058,18-Jun-25,18-Jun-25,Beau,4 mile bay,,,,,,,wasnt in sheet Shauna added in,,,,0,0,0,0,N/A,N/A,N/A,N/A,,
