SampleID,Collectors,CollectionWeek,Country/Ocean,State/Province,Region,Sector,Site,Lat,Lon,Elev,Depth,Elevation Precision,Depth Precision,GPS Source,Coordinate Accuracy,Event Time,Collection Date Accuracy,Habitat,SamplingProtocol,Collection Notes,Site Code,FieldID,Collection Date
KBIMP_004_G4,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river ,69.120943,-105.042616,,,,,,,,,,Sweep net ,,,CBAY0040,July 24 2024
KBIMP_004_G5,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river ,69.120943,-105.042616,,,,,,,,,,Sweep net ,,,CBAY0040,July 24 2024
KBIMP_004_G6,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river ,69.120943,-105.042616,,,,,,,,,,Sweep net ,,,CBAY0040,July 24 2024
KBIMP_004_G7,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river ,69.120943,-105.042616,,,,,,,,,,Sweep net ,,,CBAY0040,July 24 2024
KBIMP_004_G8,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river ,69.120943,-105.042616,,,,,,,,,,Sweep net ,,,CBAY0040,July 24 2024
KBIMP_004_G9,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river ,69.120943,-105.042616,,,,,,,,,,Sweep net ,,,CBAY0040,July 24 2024
KBIMP_004_G10,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river ,69.120943,-105.042616,,,,,,,,,,Sweep net ,,,CBAY0040,July 24 2024
KBIMP_004_G11,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river ,69.120943,-105.042616,,,,,,,,,,Sweep net ,,,CBAY0040,July 24 2024
KBIMP_004_G12,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river ,69.120943,-105.042616,,,,,,,,,,Sweep net ,,,CBAY0040,July 24 2024
KBIMP_004_H1,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river ,69.120943,-105.042616,,,,,,,,,,Sweep net ,,,CBAY0040,July 24 2024
KBIMP_004_H2,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river ,69.120943,-105.042616,,,,,,,,,,Sweep net ,,,CBAY0040,July 24 2024
KBIMP_004_H3,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river ,69.120943,-105.042616,,,,,,,,,,Sweep net ,,,CBAY0040,July 24 2024
KBIMP_004_H4,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river ,69.120943,-105.042616,,,,,,,,,,Sweep net ,,,CBAY0040,July 24 2024
KBIMP_004_H5,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river ,69.120943,-105.042616,,,,,,,,,,Sweep net ,,,CBAY0040,July 24 2024
KBIMP_004_H6,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river ,69.120943,-105.042616,,,,,,,,,,Sweep net ,,,CBAY0040,July 24 2024
KBIMP_004_H7,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river ,69.120943,-105.042616,,,,,,,,,,Sweep net ,,,CBAY0040,July 24 2024
KBIMP_004_H8,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river ,69.120943,-105.042616,,,,,,,,,,Sweep net ,,,CBAY0040,July 24 2024
KBIMP_004_H9,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river ,69.120943,-105.042616,,,,,,,,,,Sweep net ,,,CBAY0040,July 24 2024
KBIMP_004_H10,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,Freshwater river ,69.120943,-105.042616,,,,,,,,,,Sweep net ,,,CBAY0040,July 24 2024
KBIMP-_007_C4,B. Taptuna ,1,Canada,Nunavut,Kitikmeot,KGLTK,other side of heart lake,67 48.2870,115 13.9394,,,,,,,,,,,,,KGLTK0020,24-Jul-25
KBIMP-_007_C5,B. Taptuna ,1,Canada,Nunavut,Kitikmeot,KGLTK,other side of heart lake,67 48.2870,115 13.9394,,,,,,,,,,,,,KGLTK0020,24-Jul-25
KBIMP_01_A1,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_A2,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_A3,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_A4,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_A5,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_A6,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_A7,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_A8,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_A9,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_A10,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_A11,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_A12,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_B1,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_B2,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_B3,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_B4,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_B5,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_B6,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_B7,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_B8,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_B9,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_B10,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_B11,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_B12,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_C1,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_C2,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_C3,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_C4,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_C5,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_C6,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_C7,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_C8,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_C9,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_C10,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_C11,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_C12,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_D1,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_D2,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_D3,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_D4,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_D5,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_D6,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_D7,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_D8,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_D9,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_D10,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_D11,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_D12,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_E1,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_E2,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_E3,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_E4,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_E5,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_E6,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_E7,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_E8,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_E9,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_E10,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_E11,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_E12,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_F1,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_F2,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_F3,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_F4,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_F5,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_F6,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_F7,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_F8,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_01_F9,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0020,July 25 2024
KBIMP_01_G1,D. Nowosad,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.158318,105.190284,24m,,,,,,,,,Dipnet,,,CBAY0037,July 25 2024
KBIMP_002_D8,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.13247,-104.988683,,,,,,,,,,Sweep net,,,CBAY0022,July 25 2024
KBIMP_002_D9,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.13247,-104.988683,,,,,,,,,,Sweep net,,,CBAY0022,July 25 2024
KBIMP_002_D10,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.13247,-104.988683,,,,,,,,,,Sweep net,,,CBAY0022,July 25 2024
KBIMP_002_D11,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.13247,-104.988683,,,,,,,,,,Sweep net,,,CBAY0022,July 25 2024
KBIMP_002_D12,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.13247,-104.988683,,,,,,,,,,Sweep net,,,CBAY0022,July 25 2024
KBIMP_002_E1,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.13247,-104.988683,,,,,,,,,,Sweep net,,,CBAY0022,July 25 2024
KBIMP_002_E2,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.13247,-104.988683,,,,,,,,,,Sweep net,,,CBAY0022,July 25 2024
KBIMP_002_E3,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.13247,-104.988683,,,,,,,,,,Sweep net,,,CBAY0022,July 25 2024
KBIMP_002_E4,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.13247,-104.988683,,,,,,,,,,Sweep net,,,CBAY0022,July 25 2024
KBIMP_002_E5,O. Colman,1,Canada,Nunavut,Kitikmeot,CBAY,DEW Line Rd,69.13247,-104.988683,,,,,,,,,,Sweep net,,,CBAY0022,July 25 2024
